NodeNo.,X,Y,Z,stress
31688,7.5012E-01,-1.6654E-01,38.575,0.3661
31689,7.5003E-01,-4.1647E-02,38.600,0.1351
31690,7.7517E-01,-1.6636E-01,38.600,0.3721
31691,8.0017E-01,-1.2454E-01,38.600,0.2868
31692,7.7509E-01,-8.3162E-02,38.600,0.2068
31693,8.0012E-01,-8.3006E-02,38.575,0.2016
31694,8.0023E-01,-1.6601E-01,38.575,0.3637
31695,8.0006E-01,-4.1515E-02,38.600,0.1316
31696,8.2529E-01,-1.6567E-01,38.600,0.3693
31697,8.5026E-01,-1.2391E-01,38.600,0.2842
31698,8.2514E-01,-8.2820E-02,38.600,0.2044
31699,8.5017E-01,-8.2587E-02,38.575,0.1993
31700,8.5034E-01,-1.6517E-01,38.575,0.3607
31701,8.5009E-01,-4.1305E-02,38.600,0.1284
31702,8.7540E-01,-1.6470E-01,38.600,0.3659
31703,9.0034E-01,-1.2309E-01,38.600,0.2812
31704,8.7520E-01,-8.2335E-02,38.600,0.2019
31705,9.0022E-01,-8.2037E-02,38.575,0.1968
31706,9.0045E-01,-1.6407E-01,38.575,0.3571
31707,9.0011E-01,-4.1030E-02,38.600,0.1254
31708,9.2550E-01,-1.6348E-01,38.600,0.3619
31709,9.5041E-01,-1.2209E-01,38.600,0.2779
31710,9.2525E-01,-8.1725E-02,38.600,0.1992
31711,9.5028E-01,-8.1368E-02,38.575,0.1941
31712,9.5055E-01,-1.6274E-01,38.575,0.353
31713,9.5014E-01,-4.0696E-02,38.600,0.1226
31714,9.7560E-01,-1.6203E-01,38.600,0.3575
31715,1.0005E+00,-1.2092E-01,38.600,0.2742
31716,9.7530E-01,-8.1001E-02,38.600,0.1963
31717,1.0003E+00,-8.0589E-02,38.575,0.1913
31718,1.0006E+00,-1.6118E-01,38.575,0.3486
31719,1.0002E+00,-4.0306E-02,38.600,0.1199
31720,1.0257E+00,-1.6036E-01,38.600,0.3528
31721,1.0505E+00,-1.1959E-01,38.600,0.2704
31722,1.0253E+00,-8.0170E-02,38.600,0.1934
31723,1.0504E+00,-7.9705E-02,38.575,0.1885
31724,1.0507E+00,-1.5941E-01,38.575,0.3439
31725,1.0502E+00,-3.9864E-02,38.600,0.1174
31726,1.0758E+00,-1.5850E-01,38.600,0.3478
31727,1.1006E+00,-1.1812E-01,38.600,0.2664
31728,1.0754E+00,-7.9238E-02,38.600,0.1904
31729,1.1004E+00,-7.8726E-02,38.575,0.1856
31730,1.1008E+00,-1.5745E-01,38.575,0.339
31731,1.1002E+00,-3.9374E-02,38.600,0.115
31732,1.1259E+00,-1.5645E-01,38.600,0.3425
31733,1.1507E+00,-1.1652E-01,38.600,0.2622
31734,1.1254E+00,-7.8214E-02,38.600,0.1873
31735,1.1504E+00,-7.7657E-02,38.575,0.1826
31736,1.1509E+00,-1.5531E-01,38.575,0.3338
31737,1.1502E+00,-3.8840E-02,38.600,0.1127
31738,1.1759E+00,-1.5423E-01,38.600,0.3371
31739,1.2007E+00,-1.1479E-01,38.600,0.2579
31740,1.1755E+00,-7.7103E-02,38.600,0.1841
31741,1.2005E+00,-7.6505E-02,38.575,0.1795
31742,1.2010E+00,-1.5301E-01,38.575,0.3284
31743,1.2002E+00,-3.8263E-02,38.600,0.1105
31744,1.2260E+00,-1.5184E-01,38.600,0.3314
31745,1.2508E+00,-1.1294E-01,38.600,0.2535
31746,1.2255E+00,-7.5909E-02,38.600,0.1809
31747,1.2505E+00,-7.5268E-02,38.575,0.1764
31748,1.2510E+00,-1.5054E-01,38.575,0.3229
31749,1.2503E+00,-3.7645E-02,38.600,0.1083
31750,1.2760E+00,-1.4928E-01,38.600,0.3256
31751,1.3008E+00,-1.1095E-01,38.600,0.2489
31752,1.2755E+00,-7.4629E-02,38.600,0.1777
31753,1.3005E+00,-7.3945E-02,38.575,0.1732
31754,1.3011E+00,-1.4789E-01,38.575,0.3171
31755,1.3003E+00,-3.6984E-02,38.600,0.1062
31756,1.3261E+00,-1.4654E-01,38.600,0.3197
31757,1.3508E+00,-1.0883E-01,38.600,0.2443
31758,1.3255E+00,-7.3261E-02,38.600,0.1744
31759,1.3505E+00,-7.2532E-02,38.575,0.1701
31760,1.3511E+00,-1.4506E-01,38.575,0.3113
31761,1.3503E+00,-3.6277E-02,38.600,0.1042
31762,1.3761E+00,-1.4363E-01,38.600,0.3137
31763,1.4008E+00,-1.0658E-01,38.600,0.2397
31764,1.3756E+00,-7.1803E-02,38.600,0.1711
31765,1.4006E+00,-7.1028E-02,38.575,0.1669
31766,1.4011E+00,-1.4206E-01,38.575,0.3053
31767,1.4003E+00,-3.5525E-02,38.600,0.1023
31768,1.4261E+00,-1.4053E-01,38.600,0.3076
31769,1.4509E+00,-1.0418E-01,38.600,0.235
31770,1.4256E+00,-7.0251E-02,38.600,0.1678
31771,1.4506E+00,-6.9429E-02,38.575,0.1637
31772,1.4511E+00,-1.3886E-01,38.575,0.2993
31773,1.4503E+00,-3.4726E-02,38.600,0.1004
31774,1.4761E+00,-1.3723E-01,38.600,0.3014
31775,1.5009E+00,-1.0164E-01,38.600,0.2303
31776,1.4756E+00,-6.8606E-02,38.600,0.1645
31777,1.5006E+00,-6.7737E-02,38.575,0.1605
31778,1.5011E+00,-1.3547E-01,38.575,0.2933
31779,1.5003E+00,-3.3880E-02,38.600,0.09854
31780,1.5261E+00,-1.3377E-01,38.600,0.2952
31781,1.5509E+00,-9.8981E-02,38.600,0.2255
31782,1.5256E+00,-6.6874E-02,38.600,0.1612
31783,1.5506E+00,-6.5965E-02,38.575,0.1572
31784,1.5511E+00,-1.3193E-01,38.575,0.2871
31785,1.5503E+00,-3.2994E-02,38.600,0.09674
31786,1.5761E+00,-1.3015E-01,38.600,0.2889
31787,1.6008E+00,-9.6218E-02,38.600,0.2207
31788,1.5756E+00,-6.5067E-02,38.600,0.1579
31789,1.6006E+00,-6.4123E-02,38.575,0.154
31790,1.6011E+00,-1.2825E-01,38.575,0.2809
31791,1.6003E+00,-3.2073E-02,38.600,0.09495
31792,1.6261E+00,-1.2641E-01,38.600,0.2825
31793,1.6508E+00,-9.3371E-02,38.600,0.2158
31794,1.6256E+00,-6.3196E-02,38.600,0.1546
31795,1.6506E+00,-6.2224E-02,38.575,0.1507
31796,1.6511E+00,-1.2445E-01,38.575,0.2745
31797,1.6503E+00,-3.1124E-02,38.600,0.09315
31798,1.6761E+00,-1.2256E-01,38.600,0.276
31799,1.7008E+00,-9.0457E-02,38.600,0.2108
31800,1.6755E+00,-6.1276E-02,38.600,0.1512
31801,1.7005E+00,-6.0282E-02,38.575,0.1474
31802,1.7011E+00,-1.2056E-01,38.575,0.2681
31803,1.7003E+00,-3.0152E-02,38.600,0.09132
31804,1.7261E+00,-1.1864E-01,38.600,0.2694
31805,1.7508E+00,-8.7496E-02,38.600,0.2057
31806,1.7255E+00,-5.9317E-02,38.600,0.1478
31807,1.7505E+00,-5.8309E-02,38.575,0.144
31808,1.7510E+00,-1.1662E-01,38.575,0.2615
31809,1.7503E+00,-2.9165E-02,38.600,0.08943
31810,1.7760E+00,-1.1467E-01,38.600,0.2627
31811,1.8007E+00,-8.4499E-02,38.600,0.2006
31812,1.7755E+00,-5.7331E-02,38.600,0.1442
31813,1.8005E+00,-5.6311E-02,38.575,0.1405
31814,1.8010E+00,-1.1262E-01,38.575,0.2548
31815,1.8002E+00,-2.8166E-02,38.600,0.08745
31816,1.8260E+00,-1.1065E-01,38.600,0.2558
31817,1.8507E+00,-8.1470E-02,38.600,0.1953
31818,1.8255E+00,-5.5323E-02,38.600,0.1406
31819,1.8505E+00,-5.4293E-02,38.575,0.1369
31820,1.8509E+00,-1.0859E-01,38.575,0.2481
31821,1.8502E+00,-2.7157E-02,38.600,0.08538
31822,1.8759E+00,-1.0659E-01,38.600,0.2489
31823,1.9007E+00,-7.8412E-02,38.600,0.1899
31824,1.8755E+00,-5.3294E-02,38.600,0.1369
31825,1.9005E+00,-5.2255E-02,38.575,0.1332
31826,1.9009E+00,-1.0451E-01,38.575,0.2411
31827,1.9002E+00,-2.6137E-02,38.600,0.08319
31828,1.9259E+00,-1.0250E-01,38.600,0.2418
31829,1.9506E+00,-7.5330E-02,38.600,0.1843
31830,1.9254E+00,-5.1247E-02,38.600,0.133
31831,1.9504E+00,-5.0201E-02,38.575,0.1294
31832,1.9509E+00,-1.0040E-01,38.575,0.2341
31833,1.9502E+00,-2.5110E-02,38.600,0.08086
31834,1.9758E+00,-9.8373E-02,38.600,0.2345
31835,2.0006E+00,-7.2225E-02,38.600,0.1786
31836,1.9754E+00,-4.9185E-02,38.600,0.129
31837,2.0004E+00,-4.8132E-02,38.575,0.1254
31838,2.0008E+00,-9.6263E-02,38.575,0.2269
31839,2.0002E+00,-2.4075E-02,38.600,0.07839
31840,2.0258E+00,-9.4220E-02,38.600,0.2271
31841,2.0506E+00,-6.9100E-02,38.600,0.1727
31842,2.0254E+00,-4.7108E-02,38.600,0.1249
31843,2.0504E+00,-4.6049E-02,38.575,0.1212
31844,2.0507E+00,-9.2099E-02,38.575,0.2195
31845,2.0502E+00,-2.3033E-02,38.600,0.07576
31846,2.0757E+00,-9.0039E-02,38.600,0.2194
31847,2.1005E+00,-6.5949E-02,38.600,0.1666
31848,2.0754E+00,-4.5017E-02,38.600,0.1206
31849,2.1003E+00,-4.3949E-02,38.575,0.117
31850,2.1007E+00,-8.7899E-02,38.575,0.2119
31851,2.1002E+00,-2.1983E-02,38.600,0.07298
31852,2.1257E+00,-8.5814E-02,38.600,0.2115
31853,2.1505E+00,-6.2760E-02,38.600,0.1603
31854,2.1253E+00,-4.2903E-02,38.600,0.1161
31855,2.1503E+00,-4.1824E-02,38.575,0.1125
31856,2.1506E+00,-8.3647E-02,38.575,0.204
31857,2.1502E+00,-2.0920E-02,38.600,0.07007
31858,2.1756E+00,-8.1531E-02,38.600,0.2034
31859,2.2004E+00,-5.9522E-02,38.600,0.1538
31860,2.1753E+00,-4.0761E-02,38.600,0.1114
31861,2.2003E+00,-3.9665E-02,38.575,0.1079
31862,2.2006E+00,-7.9330E-02,38.575,0.196
31863,2.2001E+00,-1.9841E-02,38.600,0.06706
31864,2.2255E+00,-7.7174E-02,38.600,0.195
31865,2.2504E+00,-5.6223E-02,38.600,0.1471
31866,2.2253E+00,-3.8582E-02,38.600,0.1066
31867,2.2502E+00,-3.7466E-02,38.575,0.1032
31868,2.2505E+00,-7.4932E-02,38.575,0.1877
31869,2.2501E+00,-1.8741E-02,38.600,0.06401
31870,2.2754E+00,-7.2731E-02,38.600,0.1864
31871,2.3003E+00,-5.2855E-02,38.600,0.1403
31872,2.2752E+00,-3.6359E-02,38.600,0.1017
31873,2.3002E+00,-3.5221E-02,38.575,0.09839
31874,2.3004E+00,-7.0441E-02,38.575,0.1791
31875,2.3001E+00,-1.7618E-02,38.600,0.06099
31876,2.3254E+00,-6.8191E-02,38.600,0.1774
31877,2.3502E+00,-4.9414E-02,38.600,0.1332
31878,2.3252E+00,-3.4090E-02,38.600,0.09668
31879,2.3502E+00,-3.2927E-02,38.575,0.09352
31880,2.3503E+00,-6.5854E-02,38.575,0.1702
31881,2.3501E+00,-1.6471E-02,38.600,0.05811
31882,2.3753E+00,-6.3561E-02,38.600,0.1679
31883,2.4002E+00,-4.5914E-02,38.600,0.1256
31884,2.3751E+00,-3.1776E-02,38.600,0.09143
31885,2.4001E+00,-3.0594E-02,38.575,0.08825
31886,2.4002E+00,-6.1188E-02,38.575,0.1608
31887,2.4001E+00,-1.5305E-02,38.600,0.05557
31888,2.4252E+00,-5.8864E-02,38.600,0.1572
31889,2.4501E+00,-4.2373E-02,38.600,0.1177
31890,2.4251E+00,-2.9429E-02,38.600,0.08601
31891,2.4501E+00,-2.8233E-02,38.575,0.08398
31892,2.4501E+00,-5.6466E-02,38.575,0.1503
31893,2.4500E+00,-1.4124E-02,38.600,0.05348
31894,2.4751E+00,-5.4122E-02,38.600,0.1453
31895,2.5000E+00,-3.8806E-02,38.600,0.1014
31896,2.4750E+00,-2.7060E-02,38.600,0.0775
31897,2.5000E+00,-2.5856E-02,38.575,0.06828
31898,2.5000E+00,-5.1712E-02,38.575,0.133
31899,2.5000E+00,-1.2935E-02,38.600,0.03768
31900,3.2484E-01,-1.4726E-01,38.650,0.3475
31901,3.4980E-01,-1.1264E-01,38.650,0.2817
31902,3.2493E-01,-7.3541E-02,38.650,0.2518
31903,3.0000E-01,-1.0799E-01,38.650,0.2966
31904,3.0000E-01,-7.1975E-02,38.625,0.2579
31905,3.0000E-01,-1.4395E-01,38.625,0.3382
31906,3.4987E-01,-7.5075E-02,38.625,0.2384
31907,3.4973E-01,-1.5015E-01,38.625,0.3489
31908,3.4993E-01,-3.7546E-02,38.650,0.2109
