x, y, z, stress
0.281175345, -0.13928476, 0.0977648124, 1.364
0.280128717, -0.0416194312, 0.12982665, 1.449
0.274406344, -0.0949263796, 0.119157396, 1.431
-0.180182382, 0.140823469, 0.118964843, 1.782
-0.0784475952, 0.118582405, 0.138600573, 1.742
0., -0.0601206198, 0.155304551, 1.724
-0.0926910043, 0.198098183, 0.0929856449, 1.573
-0.0479463451, 0.224103242, 0.0692355335, 1.397
0.0345137157, 0.195352226, 0.099230364, 1.508
0.0344992615, 0.144794956, 0.129963934, 1.615
-0.421628684, -0.078250967, 0.0699157044, 1.787
-0.40494144, -0.0479363613, 0.0886988118, 1.854
-0.439098626, -0.0309485756, 0.0739201009, 1.794
-0.496250719, -0.0305582732, 0., 1.771
-0.489749342, -0.0339667574, 0.0237978045, 1.728
-0.49523285, 0., 0.0220415406, 1.847
-0.452944964, -0.0943299606, 0.0307737663, 1.726
-0.473582149, -0.0650900826, 0.0299727116, 1.719
-0.465721518, -0.0909717828, 0., 1.730
-0.112515859, -0.134479105, 0.129985273, 1.815
-0.176751316, -0.0485440046, 0.146409318, 1.909
-0.189194068, -0.0933732316, 0.135512114, 1.933
-0.227038652, -0.0454615988, 0.139553174, 1.980
-0.317077965, -0.13234283, 0.0901713595, 1.929
-0.35603103, -0.128443986, 0.0765666217, 1.847
-0.210198969, -0.226834953, 0., 1.950
-0.253253102, -0.211470425, 0.0267422888, 1.788
-0.279844493, -0.0455660075, 0.12934573, 1.997
-0.274098665, -0.0960588008, 0.118857816, 1.988
-0.251723349, -0.120714664, 0.11464186, 1.987
-0.211087704, -0.134923011, 0.116536736, 1.947
-0.0950655043, -0.239258498, 0.035030935, 1.453
-0.126758114, -0.241832778, 0., 1.786
-0.470958441, -0.0309420023, 0.0499533527, 1.760
-0.439017773, 0.0310302917, 0.0739552379, 1.771
-0.47350812, 0.0651778877, 0.0300142728, 1.630
-0.124583118, 0.0499654338, 0.151618168, 1.840
-0.324825019, 0.181257248, 0.0365864262, 1.488
-0.312328309, 0.132433519, 0.0917995647, 1.798
-0.0443877205, 0.138287336, 0.132534161, 1.691
-0.0339610577, 0.096633926, 0.147163197, 1.727
-0.0444627926, 0.189737603, 0.103207625, 1.579
-0.0903539062, 0.241611883, 0.029207699, 1.558
-0.132407099, 0.236659229, 0.0293947235, 1.585
-0.053783074, -0.059105657, 0.154508471, 1.775
-0.0536167175, 0., 0.159077421, 1.783
-0.160472423, 0., 0.15153566, 1.896
-0.123281457, -0.0484853983, 0.151923642, 1.863
-0.0339894444, 0.0383733325, 0.157729387, 1.755
-0.285515606, -0.205232084, 0., 1.825
-0.287703186, -0.200082004, 0.0269553848, 1.852
-0.194898129, 0.216704234, 0.0497513264, 1.240
-0.157159969, 0.20650509, 0.0748576671, 1.506
-0.104687996, 0.087799333, 0.146014541, 1.800
-0.115185872, 0.129555017, 0.131781816, 1.776
-0.496250719, 0.0305582732, 0., 1.612
-0.489749342, 0.0339667574, 0.0237978045, 1.648
-0.271122158, 0.194907159, 0.0501263328, 1.205
-0.272313058, 0.169132128, 0.079307653, 1.676
-0.0695046261, -0.106805712, 0.142943412, 1.786
0.0437819473, -0.143857405, 0.130104035, 1.619
0.0384287797, -0.249260515, 0., 1.619
0., -0.240769699, 0.0430751555, 1.432
0., 0.241082922, 0.0423514806, 1.460
-0.0481159277, 0.244522169, 0.0295381024, 1.525
-0.236327007, 0.206306532, 0.0494708195, 1.287
-0.21019873, 0.226835012, 0., 1.770
-0.153399721, 0.169858932, 0.106642276, 1.708
-0.179546908, 0.0824795291, 0.139687032, 1.870
-0.162625015, 0.0330345929, 0.149816051, 1.884
-0.126757935, 0.241832808, 0., 1.731
-0.268700302, 0.0330616906, 0.133262947, 1.952
-0.357583344, 0.165021911, 0.0367724933, 1.454
-0.352559686, 0.177272156, 0., 1.798
-0.356727958, 0.12765646, 0.0767736509, 1.727
-0.390324384, 0.136531994, 0.0486178324, 1.542
-0.419147074, 0.113608137, 0.0482006483, 1.577
-0.414421618, 0.139870226, 0., 1.744
-0.465721518, 0.0909718126, 0., 1.702
-0.421058059, 0.0787122399, 0.0700556338, 1.744
-0.308799356, 0.0526297726, 0.121247232, 1.936
0.167683661, -0.171887711, 0.103048272, 1.445
0.0928606391, -0.200576201, 0.0907659233, 1.440
0.0488824062, -0.222358197, 0.0714380518, 1.399
0.0438072719, -0.194565147, 0.0994878635, 1.507
0.202113673, -0.0716968477, 0.138965622, 1.524
0.204054847, -0.108063266, 0.128658682, 1.495
0.166032523, -0.0973222554, 0.137468487, 1.539
0.087485455, -0.2410613, 0.0318461917, 1.466
0.346624881, -0.102783635, 0.09470772, 1.326
-0.133749604, -0.174058139, 0.106577829, 1.797
0.0441334508, -0.0997939482, 0.146018535, 1.666
0.0441860817, -0.0415896513, 0.157135576, 1.685
0.0781963095, 0.133418262, 0.132976696, 1.580
0.320014954, -0.134402215, 0.0878308862, 1.329
0.357959539, -0.129712358, 0.074748449, 1.279
0.209972009, -0.188613862, 0.0807079002, 1.370
0.198509574, -0.220848009, 0.0398378447, 1.346
0.190988317, -0.231042996, 0., 1.467
0.265525371, -0.211835012, 0., 1.388
0.242955297, -0.205245078, 0.0479685776, 1.314
